P/T (kPa/K),Den (Kg/cu m),Temp (C),Pres (kPa),Alt (m)
1.5148082052037E-05,5.2799E-5,96.837300,5.6038E-3,76270
1.5163257338894E-05,5.2852E-5,96.807400,5.6090E-3,76260
1.5178449056819E-05,5.2905E-5,96.777500,5.6142E-3,76250
1.51936572249334E-05,5.2958E-5,96.747600,5.6193E-3,76240
1.52088818623819E-05,5.3011E-5,96.717700,5.6245E-3,76230
1.52241229883336E-05,5.3064E-5,96.687800,5.6297E-3,76220
1.5239380621981E-05,5.3117E-5,96.657900,5.6349E-3,76210
1.52546547825407E-05,5.3171E-5,96.628000,5.6401E-3,76200
1.52699454892532E-05,5.3224E-5,96.598100,5.6453E-3,76190
1.52852527613829E-05,5.3277E-5,96.568200,5.6505E-3,76180
1.53005766182183E-05,5.3331E-5,96.538300,5.6557E-3,76170
1.53159170790718E-05,5.3384E-5,96.508400,5.6609E-3,76160
1.533127416328E-05,5.3438E-5,96.478500,5.6661E-3,76150
1.53466478902033E-05,5.3491E-5,96.448600,5.6713E-3,76140
1.53620382792267E-05,5.3545E-5,96.418700,5.6766E-3,76130
1.53774453497589E-05,5.3599E-5,96.388800,5.6818E-3,76120
1.5392869121233E-05,5.3652E-5,96.358900,5.6870E-3,76110
1.54083096131062E-05,5.3706E-5,96.329000,5.6923E-3,76100
1.54237668448601E-05,5.3760E-5,96.299100,5.6975E-3,76090
1.54392408360005E-05,5.3814E-5,96.269200,5.7028E-3,76080
1.54547316060573E-05,5.3868E-5,96.239300,5.7080E-3,76070
